"id","alias","classification","name","sub_classification","attributes/id","attributes/alias","attributes/data_type","attributes/is_enabled","attributes/is_required","attributes/name","attributes/selection_text","attributes/regex"
"__export__.urban_bridge_structure_element_type_37","AIS","Accessory Element","Aisladores Sismicos","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_24","ALE","Main Element","Aleta de Estribo","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_36","ACL","Secondary Element","Anclaje Sísmico","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_14","AND","Main Element","Anden","Infrastructure","__export__.urban_bridge_structure_element_attribute_142","material","Selection","True","True","Tipo de Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_143","redes","Boolean","True","True","Tiene redes subterraneas","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_144","cambniv","Selection","True","True","Cambio de Niveles","[('0','No definido')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_145","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_146","area","Float","True","True","Area","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_147","longelem","Float","True","True","Longitud del Elemento","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_148","shape","Geographic Polygon","True","True","Shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_213","volv","Float","True","True","Volumen Excavacion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_214","volconr","Float","True","True","Volumen Concreto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_215","volrec","Float","True","True","Volumen Recevo","",""
"__export__.urban_bridge_structure_element_type_32","APY","Secondary Element","Apoyo","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_12","BAR","Secondary Element","Baranda Peatonal","Super Structure","__export__.urban_bridge_structure_element_attribute_134","baranda","Geographic Line","True","True","shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_188","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_189","float","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_190","Largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_191","area","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_192","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_193","material","Selection","True","True","Tipo Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_194","defmax","Float","True","True","Deflexion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_195","areatotsold","Float","True","True","Area Total Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_196","espdispin","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_197","esfuncional","Boolean","True","True","Cumple Funcionalidad","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_198","tipobar","Selection","True","True","Tipo Baranda","[('1','Baranda metálica con dos tubos M80'),('2','Baranda metálica con un tubo M80'),('3','Concreto y metálica no estándar'),('4','Sólo concreto no estándar'),('5','Sólo metálica no estándar')]",""
"__export__.urban_bridge_structure_element_type_16","BCN","Secondary Element","Barrera de Contención","Super Structure","__export__.urban_bridge_structure_element_attribute_162","murocontencio","Selection","True","True","Tipo","[('NJE','New Jersey'),('CMB','Combinadas'),('CNNJ','Concreto no New Jersey'),('MET','Metálica')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_163","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_164","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_165","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_166","areatotal","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_167","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_168","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_169","deflmax","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_170","espdissold","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_171","espdispint","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_172","shape","Geographic Line","True","True","Shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_237","dren","Float","True","True","Drenaje","",""
"__export__.urban_bridge_structure_element_type_19","CSS","Main Element","Caisson","Foundation","","","","","","","",""
"__export__.urban_bridge_structure_element_type_27","CRP","Main Element","Carpeta Rodadura","Super Structure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_5","COL","Main Element","Columna","Infrastructure","__export__.urban_bridge_structure_element_attribute_59","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_60","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_61","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_62","radio","Float","True","True","Radio","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_63","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_64","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_65","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_66","deflmaxima","Float","True","True","Deflexion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_67","asentmaximo","Float","True","True","Asentamiento Maximo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_68","longfisuracio","Float","True","True","Longitud Fisuracion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_69","totsoldadura","Float","True","True","Total Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_70","espsold","Float","True","True","Espesor Diseño Soldarura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_71","esppint","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_72","vertic","Float","True","True","Verticalidad","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_73","alineamiento","Float","True","True","Alineamiento","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_74","shape","Geographic Polygon","True","True","shape","",""
"__export__.urban_bridge_structure_element_type_6","COR","Main Element","Cordon","Structure Element","__export__.urban_bridge_structure_element_attribute_75","espesor","Selection","True","True","Espesor o calibre","[('0','No especificado')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_76","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_77","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_78","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_79","seccion","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_80","ubicacion","Char","True","True","Ubicación","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_81","area","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_82","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_83","tipo","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_84","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_85","defMaxima","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_86","areadissold","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_87","espesordissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_88","espdispin","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_89","shape","Geographic Line","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_20","DAD","Secondary Element","Dado","Foundation","","","","","","","",""
"__export__.urban_bridge_structure_element_type_25","DGN","Main Element","Diafragma","Super Structure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_8","DGN","Main Element","Diagonal","Structure Element","__export__.urban_bridge_structure_element_attribute_104","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_105","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_106","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_107","espesor","Selection","True","True","Espesor o Calibre","[('0','No hay dato'),('1','Zona 1'),('2','Zona 2'),('3','Zona 3'),('4','Zona 4'),('5','Zona 5'),('6','Zona 6')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_108","seccion","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_109","area","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_110","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_111","tipo","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_112","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_113","defmaxima","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_114","areasolddis","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_115","espdissold","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_116","shape","Geographic Line","True","True","Shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_117","espdispint","Float","True","True","Espesor Diseño Pintura","",""
"__export__.urban_bridge_structure_element_type_11","ESC","Secondary Element","Escalera","Infrastructure","__export__.urban_bridge_structure_element_attribute_130","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_131","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_132","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_133","shape","Geographic Polygon","True","True","Shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_181","pendiente","Float","True","True","Pendiente","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_182","mater","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_183","defmax","Float","True","True","Deflexion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_184","area","Float","True","True","Area","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_185","areasold","Float","True","True","Area Soldarura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_186","espdissold","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_187","espdipin","Float","True","True","Espesor Diseño  Pintura ","",""
"__export__.urban_bridge_structure_element_type_28","EST","Main Element","Estribo","Foundation","","","","","","","",""
"__export__.urban_bridge_structure_element_type_13","JTN","Secondary Element","Juntas","Super Structure","__export__.urban_bridge_structure_element_attribute_135","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_136","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_137","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_138","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_139","areatotsold","Float","True","True","Area Total Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_140","espdissold","Float","True","True","Espesor Diseno Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_141","shape","Geographic Line","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_21","LAP","Secondary Element","Losa Aproximacion","Super Structure","__export__.urban_bridge_structure_element_attribute_216","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_217","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_218","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_219","area","Float","True","True","Area","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_220","vol","Float","True","True","Volúmen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_221","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_222","defmax","Float","True","True","Deflexión Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_223","lonfismax","Float","True","True","Longitud Fisuración Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_224","shape","Geographic Polygon","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_10","TAB","Main Element","Losa o Placa Superestructura (Tablero)","Super Structure","__export__.urban_bridge_structure_element_attribute_126","losa","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_127","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_128","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_129","shape","Geographic Polygon","True","True","shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_173","areat","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_174","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_175","mater","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_176","defmax","Float","True","True","Deflexion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_177","lonfismax","Float","True","True","Longitud Fisuracion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_178","esppindis","Float","True","True","Espesor Pintura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_179","vertic","Float","True","True","Verticalidad","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_180","alineam","Float","True","True","Alineamiento","",""
"__export__.urban_bridge_structure_element_type_26","MEN","Secondary Element","Mensula","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_7","MNT","Main Element","Montante","Structure Element","__export__.urban_bridge_structure_element_attribute_90","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_91","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_92","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_93","espesor","Selection","True","True","Espesor o calibre","[('0','No hay dato'),('1','Zona 1'),('2','Zona 2'),('3','Zona 3'),('4','Zona 4'),('5','Zona 5'),('6','Zona 6')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_94","seccion","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_95","area","Float","True","True","Area","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_96","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_97","tipo","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_98","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_99","deflexión","Float","True","True","Deflexión","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_100","areasold","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_101","espesordissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_102","espdispint","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_103","shape","Geographic Line","True","True","shape","",""
"__export__.urban_bridge_structure_element_type_31","MUR","Main Element","Muro","Infrastructure","__export__.urban_bridge_structure_element_attribute_225","tipo","Selection","True","True","Tipo","[('NJE','New Jersey'),('CMB','Combinadas'),('CNNJ','Concreto no New Jersey'),('MET','Metálica')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_226","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_227","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_228","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_229","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_230","volumen","Float","True","True","Volúmen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_231","mat","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_232","defmax","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_233","espdispin","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_234","espdisol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_235","shape","Geographic Line","True","True","Shape","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_236","dren","Boolean","True","True","Drenaje","",""
"__export__.urban_bridge_structure_element_type_34","NPR","Secondary Element","Neoprenos","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_29","PTN","Secondary Element","Pantalla de empuje pasivo","Foundation","","","","","","","",""
"__export__.urban_bridge_structure_element_type_15","PIL","Main Element","Pila","Infrastructure","__export__.urban_bridge_structure_element_attribute_149","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_150","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_151","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_152","area","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_153","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_154","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_155","deflmax","Float","True","True","Deflexión Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_156","asentmax","Float","True","True","Asentamiento Maximo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_157","espdissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_158","espdispintura","Float","True","True","Espesor Pintura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_159","verticalidad","Float","True","True","Verticalidad","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_160","alineamiento","Float","True","True","Alineamiento","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_161","shape","Geographic Polygon","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_22","PLT","Main Element","Pilote","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_4","RMP","Secondary Element","Rampa de Acceso","Infrastructure","__export__.urban_bridge_structure_element_attribute_44","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_45","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_46","largo","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_47","areatotal","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_48","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_49","pendiente","Float","True","True","Pendiente","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_50","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_51","defmaxima","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_52","asenmax","Float","True","True","Asentamiento Maximo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_53","areasold","Float","True","True","Area Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_54","espesordissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_55","espdispint","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_56","areagraf","Float","True","True","Area Grafica","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_57","pergraf","Float","True","True","Perímetro Gráfico","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_58","shape","Geographic Polygon","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_1","RIO","Main Element","Riostra","Structure Element","__export__.urban_bridge_structure_element_attribute_3","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_4","larg","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_5","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_6","espes","Selection","True","True","Espesor o Calibre","[('0','No hay dato'),('1','Zona 1'),('2','Zona 2'),('3','Zona 3'),('4','Zona 4'),('5','Zona 5'),('6','Zona 6')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_7","secc","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_8","ub","Char","True","True","Ubicacion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_9","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_10","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_11","tip","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_12","mat","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_13","defmax","Float","True","True","Deflexión Máxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_14","areasoldis","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_15","espdissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_16","espdispin","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_17","shape","Geographic Line","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_33","RPT","Secondary Element","Rotula Plástica","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_30","TNA","Secondary Element","Tensor de Anclaje","Foundation","","","","","","","",""
"__export__.urban_bridge_structure_element_type_9","TRP","Secondary Element","Terraplen de Acceso","Infrastructure","__export__.urban_bridge_structure_element_attribute_118","ancho","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_119","area","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_120","volumen","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_121","pos_accs","Char","True","True","Posicion Accesos","[('N','Norte'),('S','Sur')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_122","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_123","asent_max","Float","True","True","Asentamiento Máximo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_124","long_elemt","Float","True","True","Longitud","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_125","shape","Geographic Polygon","True","True","Shape","",""
"__export__.urban_bridge_structure_element_type_35","TPN","Secondary Element","Topes Sismicos","Infrastructure","","","","","","","",""
"__export__.urban_bridge_structure_element_type_3","VIG","Main Element","Viga","Super Structure","__export__.urban_bridge_structure_element_attribute_32","anch","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_33","larg","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_34","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_35","areatot","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_36","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_37","tipo","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_38","material","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_39","defmaxima","Float","True","True","Deflexión Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_40","areadisol","Float","True","True","Area Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_41","espesor","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_42","espesor","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_43","shape","Geographic Line","True","True","shape","",""
"__export__.urban_bridge_structure_element_type_2","VGT","Main Element","Vigueta","Infrastructure","__export__.urban_bridge_structure_element_attribute_18","anch","Float","True","True","Ancho","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_19","larg","Float","True","True","Largo","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_20","calib","Selection","True","True","Espesor o Calibre","[('0','No hay dato'),('1','Zona 1'),('2','Zona 2'),('3','Zona 3'),('4','Zona 4'),('5','Zona 5'),('6','Zona 6')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_21","alto","Float","True","True","Alto","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_22","secc","Char","True","True","Seccion","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_23","areat","Float","True","True","Area Total","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_24","vol","Float","True","True","Volumen","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_25","type","Selection","True","True","Tipo","[('L','Longitudinal'),('C','Cabezal')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_26","mate","Selection","True","True","Material","[('1','Concreto'),('2','Metálico'),('3','Mixto'),('4','Otro')]",""
"","","","","","__export__.urban_bridge_structure_element_attribute_27","defmax","Float","True","True","Deflexion Maxima","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_28","areadissol","Float","True","True","Area Soldadura Diseño","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_29","espdissol","Float","True","True","Espesor Diseño Soldadura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_30","espdispin","Float","True","True","Espesor Diseño Pintura","",""
"","","","","","__export__.urban_bridge_structure_element_attribute_31","shape","Geographic Line","True","True","shape","",""
